Interval=	0.04 s		
ExcelDateTime=	4.23E+04	45:38.2	
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	BP	ECG	Integrated MSNA
Range=	5.000 V	100.00 mV	2.000 V
UnitName=	mmHg	*	*
TopValue=	500	*	*
BottomValue=	-500	*	*
270	75.24648	-0.1671875	-0.05660781
270.04	72.54883	-0.1692188	-0.04506406
270.08	70.50273	-0.2666406	-0.02802031
270.12	69.0082	0.07460938	-0.02545625
270.16	67.56836	0.0975	-0.05523281
270.2	66.49258	-0.2689063	-0.05162969
270.24	65.59297	-0.2303125	-0.03109219
270.28	63.94805	-0.1932812	-0.0182375
270.32	63.51758	-0.09585937	-0.01309844
270.36	83.14414	0.05257813	-0.0078375
270.4	119.3703	-0.06554688	0.02032031
270.44	108.7539	-0.268125	0.0389
270.48	90.62695	-0.3072656	0.03961875
270.52	85.01133	-0.2946875	0.1025516
270.56	84.94063	-0.2639062	0.1827734
270.6	81.29179	-0.2251563	0.1805797
270.64	76.69649	-0.2172656	0.1466797
270.68	77.64961	-0.2178906	0.0986125
270.72	79.8539	-0.2157813	0.06459375
270.76	78.64805	-0.191875	0.04865469
270.8	75.24141	-0.1159375	0.03855938
270.84	72.77031	-0.213125	0.007989062
270.88	70.64648	-0.2510937	-0.03052031
270.92	69.26485	0.5447656	-0.04133125
270.96	67.75313	-0.2936719	-0.03682656
271	66.47617	-0.2134375	-0.04187969
271.04	65.2961	-0.17875	-0.04849844
271.08	63.64492	-0.1299219	-0.04977656
271.12	70.39571	0.02828125	-0.059725
271.16	108.8074	0.0790625	-0.04686406
271.2	119.475	-0.1454687	-0.03959687
271.24	98.83672	-0.261875	-0.03125
271.28	88.73125	-0.2614844	-0.03516094
271.32	87.26328	-0.2386719	-0.0480125
271.36	86.42149	-0.2124219	-0.040375
271.4	80.46797	-0.1925781	-0.03220781
271.44	77.70508	-0.1905469	-0.02527188
271.48	79.02969	-0.1930469	-0.02271094
271.52	80.31328	-0.1971875	-0.001378125
271.56	78.04726	-0.1938281	0.011925
271.6	74.95274	-0.1696875	0.006171875
271.64	72.27031	-0.09171875	-0.008173437
271.68	70.30977	-0.1736719	-0.02519375
271.72	69.16797	-0.2233594	-0.03944375
271.76	67.58203	0.6114844	-0.02826406
271.8	66.10781	-0.2719531	-0.04023281
271.84	65.03984	-0.2073437	-0.0174625
271.88	64.25899	-0.1741406	-0.01382187
271.92	62.64101	-0.1258594	-0.009121875
271.96	71.50391	0.01796875	-0.002328125
272	111.957	0.095625	0.002901562
272.04	119.8855	-0.1240625	-0.02500156
272.08	99.24922	-0.2539844	-0.02183906
272.12	89.71914	-0.255	-0.02373594
272.16	88.53398	-0.2314844	-0.02393594
272.2	88.15039	-0.2024219	-0.03063437
272.24	82.21875	-0.1922656	-0.02686563
272.28	78.21445	-0.1883594	-0.03444844
272.32	79.28828	-0.186875	-0.03955312
272.36	80.51992	-0.1917187	-0.0573
272.4	78.73672	-0.1932031	-0.04925625
272.44	75.53633	-0.179375	-0.05041406
272.48	73.01406	-0.1015625	-0.04543281
272.52	70.81641	-0.1457813	-0.05367031
272.56	69.21797	-0.2160938	-0.05343594
272.6	67.89922	0.4489062	-0.05465469
272.64	66.44531	-0.1090625	-0.06566875
272.68	65.20703	-0.2147656	-0.0818375
272.72	64.33711	-0.1891406	-0.07494531
272.76	62.85039	-0.1575	-0.07135781
272.8	65.69218	-0.05007812	-0.06226406
272.84	98.1832	0.0796875	-0.05864531
272.88	122.2668	-0.08671875	-0.04796719
272.92	103.6414	-0.2732812	-0.02285
272.96	90.09843	-0.2995312	0.0255
273	87.01054	-0.2847656	0.09223594
273.04	87.1414	-0.2588281	0.1011578
273.08	82.62109	-0.2405469	0.1070094
273.12	77.6543	-0.2327344	0.102925
273.16	77.78789	-0.2361719	0.05135313
273.2	79.5	-0.2382031	0.005535937
273.24	78.72852	-0.2302344	-0.01734219
273.28	75.57383	-0.1607031	-0.01895938
273.32	72.72578	-0.1967969	-0.02635938
273.36	70.66797	-0.28	-0.02766719
